0.070000	13.120000	1
13.710000	16.530000	2
17.590000	32.410000	3
32.980000	35.420000	4
36.580000	42.110000	5
43.720000	53.970000	6
55.100000	55.930000	7
57.330000	64.180000	8
64.830000	72.840000	9
74.350000	74.390000	10
75.450000	79.710000	11
81.160000	88.930000	12
89.670000	89.710000	13
91.380000	91.420000	14
93.080000	93.120000	15
94.170000	101.010000	16
101.590000	105.100000	17
105.790000	108.440000	18
109.080000	113.540000	19
114.850000	116.580000	20
122.330000	132.540000	21
133.190000	141.300000	22
142.180000	150.940000	23
